Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
02/04/2018,21.920,0.000,1.000,0.000,0.000,33.842,5.090
02/05/2018,21.920,0.000,1.000,0.000,0.000,33.842,5.090
02/09/2018,17.210,0.000,0.000,0.000,0.000,33.754,5.840
11/12/2017,21.720,0.020,0.000,0.000,0.000,33.938,5.120
02/02/2018,21.890,0.020,1.000,0.000,0.000,33.837,5.090
02/03/2018,21.890,0.020,1.000,0.000,0.000,33.837,5.090
01/24/2015,18.250,0.040,2.000,0.000,0.000,33.452,5.950
11/20/2017,20.750,0.040,1.000,0.000,0.000,33.665,5.200
02/10/2018,16.670,0.040,0.300,0.000,0.000,33.753,5.830
02/08/2018,15.070,0.050,1.200,0.000,0.000,33.751,5.520
11/13/2017,21.740,0.070,1.000,0.000,0.000,33.931,5.120
11/16/2017,15.590,0.080,1.100,0.000,0.000,33.504,5.940
11/18/2017,20.750,0.090,1.000,0.000,0.000,33.626,5.220
11/19/2017,20.750,0.090,1.000,0.000,0.000,33.664,5.210
11/22/2017,17.190,0.090,1.000,0.000,0.000,33.492,5.940
02/01/2018,21.880,0.100,1.000,0.000,0.000,33.771,5.090
01/25/2015,18.430,0.110,1.000,0.000,0.000,33.464,5.830
11/09/2017,21.660,0.110,0.300,0.000,0.000,33.907,5.130
11/11/2017,19.250,0.110,1.000,0.000,0.000,33.803,5.620
04/21/2018,17.510,0.110,1.000,0.000,0.200,33.536,6.020
04/22/2018,17.200,0.110,1.000,0.000,0.200,33.510,6.050
11/17/2017,17.440,0.120,1.000,0.000,0.000,33.505,5.910
07/13/2016,19.750,0.130,1.000,0.000,0.000,33.532,5.350
08/07/2017,20.680,0.130,2.000,0.000,0.000,33.553,5.210
08/08/2017,20.250,0.130,2.000,0.000,0.000,33.492,5.330
08/09/2017,19.770,0.130,2.000,0.000,0.000,33.423,5.470
08/14/2017,20.920,0.130,6.000,0.060,0.000,33.683,5.000
06/10/2018,24.920,0.130,0.000,0.020,0.100,34.421,4.850
04/08/2019,25.410,0.130,0.000,0.000,0.000,34.595,4.740
04/10/2019,25.420,0.130,0.000,0.000,0.000,34.595,4.760
04/13/2019,25.420,0.130,0.000,0.000,0.000,34.595,4.760
04/14/2019,25.410,0.130,0.000,0.000,0.000,34.595,4.740
07/25/2019,17.490,0.130,0.000,0.000,0.000,33.736,5.840
11/07/2019,18.150,0.130,2.000,0.000,0.000,33.540,5.570
11/08/2019,18.180,0.130,1.700,0.010,0.000,33.540,5.550
04/01/2008,16.350,0.140,0.000,0.000,0.000,33.600,6.290
10/19/2012,18.990,0.140,0.000,0.000,0.100,33.660,5.150
10/20/2012,18.990,0.140,0.000,0.000,0.100,33.660,5.540
08/10/2017,20.680,0.140,2.000,0.000,0.000,33.553,5.210
08/13/2017,20.900,0.140,6.000,0.110,0.000,33.682,4.990
01/17/2015,20.220,0.150,1.000,0.000,0.000,33.654,5.340
01/18/2015,20.220,0.150,1.000,0.000,0.000,33.654,5.340
07/11/2015,20.160,0.150,1.000,0.020,0.000,33.552,5.560
07/12/2016,19.820,0.150,1.000,0.000,0.000,33.536,5.340
11/10/2016,19.390,0.150,2.000,0.010,0.000,33.412,5.430
01/14/2017,20.810,0.150,2.000,0.000,0.000,33.636,5.300
