Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
01/07/2000,11,2.23,53,0,25.3,33.895,2.11
01/08/2000,11.21,2.91,73.3,0,28.3,34.022,0.28
01/09/2000,17.95,0.19,3,0,0,33.622,5.64
01/10/2000,17.91,0.19,3,0,0,33.621,5.66
01/11/2000,17.55,0.18,3,0,0,33.616,5.83
01/12/2000,17.18,0.16,3,0,0,33.612,5.89
01/13/2000,16.57,0.24,4,0,0,33.61,5.89
01/14/2000,15.43,0.3,4.4,0.02,0.2,33.619,5.67
01/14/2000,15.43,0.3,4.4,0.02,0.2,33.619,5.67
01/15/2000,14.77,0.4,6,0.05,0.7,33.627,5.43
01/16/2000,13.78,0.54,10.5,0.02,3.7,33.685,4.94
01/17/2000,17.95,0.19,3,0,0,33.622,5.64
01/18/2000,17.95,0.19,3,0,0,33.622,5.64
01/19/2000,11,2.23,53,0,25.3,33.895,2.11
01/20/2000,11,2.23,53,0,25.3,33.895,2.11
