Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
04/30/2010,7.600,2.130,47.400,0.000,30.700,33.961,2.190
04/13/2007,7.750,2.210,47.000,0.000,31.800,34.021,2.560
08/28/2008,7.830,1.960,43.000,0.000,29.600,33.970,3.090
04/10/2006,7.840,2.340,45.800,0.010,29.100,33.821,2.250
07/08/2007,7.840,2.150,45.000,0.000,31.500,34.016,2.370
04/25/2007,7.910,2.140,45.100,0.000,31.000,34.021,2.700
07/09/2007,7.930,2.150,44.400,0.000,31.300,34.018,2.340
07/16/2006,7.950,2.280,45.800,0.000,32.900,33.762,2.120
01/30/2010,7.960,2.590,51.000,0.000,34.100,34.140,1.600
11/06/2009,8.010,2.400,48.000,0.020,32.200,34.080,1.980
03/18/2009,8.040,2.070,42.000,0.000,30.000,34.010,2.820
08/07/2010,8.050,1.790,36.000,0.130,26.300,33.734,3.500
07/07/2013,8.130,1.840,41.300,0.000,26.700,33.642,3.250
04/17/2006,8.160,2.190,41.400,0.000,27.300,33.647,2.660
04/24/2007,8.160,2.040,42.000,0.000,29.700,34.022,2.930
10/27/2000,8.190,1.870,63.000,0.000,27.900,33.990,3.450
01/30/2002,8.190,3.320,46.900,0.010,30.800,33.954,1.830
07/15/2006,8.230,2.060,39.700,0.000,29.800,33.677,2.880
11/01/2006,8.240,1.850,36.900,0.000,27.800,33.679,3.250
04/09/2006,8.260,2.120,39.600,0.020,27.400,33.760,2.800
01/09/2009,8.290,2.480,48.000,0.010,33.000,34.160,1.890
07/11/2007,8.310,2.150,42.000,0.000,30.600,34.017,2.260
07/10/2002,8.320,2.430,39.300,0.020,27.400,33.672,2.700
11/21/2002,8.320,2.200,36.500,0.000,26.700,33.556,2.980
04/19/2000,8.340,2.560,86.000,0.000,32.400,34.140,1.810
10/22/2008,8.370,2.320,44.000,0.000,31.600,34.120,1.980
08/29/2008,8.390,1.630,32.000,0.000,24.900,33.910,3.660
07/03/2002,8.400,2.690,43.800,0.010,25.400,34.112,2.010
05/01/2010,8.400,2.010,38.800,0.000,28.300,33.922,2.760
04/09/2006,8.420,2.040,36.100,0.030,26.500,33.732,2.920
04/29/2007,8.420,1.770,35.000,0.000,26.200,33.944,3.250
04/16/2006,8.430,2.060,38.100,0.000,26.300,33.579,2.810
06/29/2007,8.440,1.650,30.800,0.000,24.200,33.305,3.840
11/03/2001,8.450,3.010,44.500,0.020,31.000,34.091,1.830
01/13/2010,8.480,2.160,43.000,0.000,28.700,33.910,3.270
02/01/2010,8.480,2.350,44.000,0.000,31.000,34.090,2.000
01/30/2014,8.490,1.960,40.500,0.010,26.000,33.863,3.000
07/18/2006,8.500,1.970,35.700,0.000,28.000,33.636,3.250
03/12/2009,8.500,1.680,32.000,0.010,25.700,33.880,3.560
04/23/2011,8.510,2.020,39.600,0.010,33.300,34.101,2.180
07/17/2002,8.520,2.370,37.700,0.010,27.300,33.636,2.660
04/13/2000,8.530,2.240,74.000,0.000,31.000,34.130,1.830
10/15/2000,8.530,2.270,80.000,0.000,26.300,34.140,2.270
07/12/2000,8.570,2.110,78.000,0.060,26.600,34.130,2.250
04/07/2008,8.580,2.100,39.900,0.000,29.800,33.780,2.480
08/24/2008,8.580,1.930,35.000,0.000,27.800,33.970,2.940
03/15/2009,8.580,1.930,35.000,0.000,28.200,33.940,3.040
01/29/2002,8.610,2.870,40.600,0.010,28.400,33.835,2.300
01/13/2009,8.610,2.240,44.000,0.000,31.200,34.170,1.970
03/29/2008,8.620,2.350,47.000,0.000,32.200,34.210,1.650
01/18/2011,8.630,2.180,44.000,0.040,29.600,34.190,1.650
08/03/2011,8.630,1.650,28.000,0.030,26.000,33.687,3.490
08/03/2009,8.650,1.630,31.000,0.010,25.000,33.850,3.650
04/15/2006,8.680,1.930,34.800,0.000,25.300,33.514,3.040
07/10/2007,8.690,2.060,39.600,0.000,29.900,33.985,2.500
01/08/2009,8.690,2.150,41.000,0.000,29.700,34.090,2.420
04/28/2007,8.700,1.790,33.000,0.000,25.800,33.896,3.150
07/25/2009,8.700,1.770,33.000,0.000,26.800,33.880,3.700
04/07/2000,8.710,2.160,73.000,0.000,30.500,34.140,2.530
04/18/2000,8.710,2.320,71.000,0.000,30.000,34.070,2.530
05/02/2010,8.730,1.940,34.100,0.000,26.100,33.904,3.210
10/31/2006,8.740,1.850,34.300,0.000,27.000,33.648,3.080
11/10/2009,8.740,2.260,40.000,0.010,29.500,34.060,2.240
07/12/2007,8.750,2.040,39.000,0.000,29.700,33.974,2.560
01/08/2017,8.750,1.770,35.200,0.040,25.200,33.722,2.740
01/15/2007,8.760,1.760,31.900,0.000,25.100,33.873,3.250
04/08/2006,8.770,2.010,33.400,0.060,25.400,33.704,3.070
11/15/2013,8.770,1.740,30.000,0.000,23.100,33.522,3.240
04/15/2003,8.790,2.380,35.600,0.000,26.600,34.069,2.690
08/06/2010,8.800,1.580,28.700,0.040,21.600,33.672,3.700
01/20/2013,8.800,1.820,40.500,0.020,25.500,34.045,2.040
04/08/2001,8.830,2.000,62.000,0.000,30.500,34.030,3.040
01/10/2008,8.830,2.040,36.800,0.000,28.700,33.737,2.600
04/21/2013,8.830,2.080,43.200,0.020,25.000,34.079,1.830
10/21/2008,8.840,2.040,36.000,0.000,28.300,34.050,2.600
07/21/2016,8.840,1.750,32.700,0.130,16.900,33.497,3.080
10/16/2008,8.850,2.010,36.000,0.000,28.600,34.040,2.670
